Branche,Company_Name,Adresse,PLZ,Ort,Land,Telefon,Email,Website,Anrede,Vorname,Name,Title,Mitglied,Facebook,Twitter,Youtube,Linkedin,Instagram,Company Description
Übersetzungen,Leikin Uebersetzungscenter,Landstrasse 99,5430,Wettingen,Schweiz,+41 56 427 27 15,info@uebersetzungscenter.ch,uebersetzungscenter.ch,,,,,,,,,,,"Das Übersetzungscenter Leikin bietet ein umfassendes Portfolio professioneller Übersetzungen, Korrekturen, amtlicher Beglaubigungen und Apostillen in viele europäische und inter",https://www.persoenlich.com/marktplatz/leikin-uebersetzungscenter-wettingen
Messefirmen Schweiz,Leitner_ Ausstellungssysteme  SH Messebau AG,Heimiswilstrasse 18,3400,Burgdorf,Schweiz,+41 34 447 73 73,system@leitner.ch,leitner.ch,,,,,,,,,,,"Das Leistungspaket umfasst Konzeption, Projektmanagement, Materialvermietung, Multimedia, Grafik-Produktion, Montage, sowie Transportlogistik und Einlagerung.",https://www.persoenlich.com/marktplatz/leitner-ausstellungssysteme-sh-messebau-ag-burgdorf
Korrektorat/Lektorat,Lektorat Egger,Kalabinth 47,9042,Speicher,Schweiz,+41 71 340 00 43,korrektorat-egger@bluemail.ch,bluemail.ch,Mr.,Pablo,Egger,,,,,,,,"Lektorat Egger lektoriert, korrigiert und optimiert Ihre Texte.",https://www.persoenlich.com/marktplatz/lektorat-egger-speicher
Korrektorat/Lektorat,Lektorat Evelyne Marti,Winkelgasse 20,4629,Fulenbach,Schweiz,+41 62 926 01 19,info@relectis.ch,relectis.ch,Ms.,Evelyne,Marti,,,,,,,,"Relectis - kompakte Informationdichte, logische und bildhafte Inhalte und somit leicht verständlich für die Leser.",https://www.persoenlich.com/marktplatz/lektorat-evelyne-marti-fulenbach
Druckerei,Lempen AG,Mühlentalstrasse 369,8200,Schaffhausen,Schweiz,+41 52 644 33 22,info@lempen.ch,lempen.ch,Mr.,Joachim,Roth,,,,,,,,Die Lempen AG ist ein führender Anbieter von qualitativ hochwertigen Büro und Style Produkten in der Schweiz und beweist seit Jahren grosse Kompetenz im Bereich von Formularbüch,https://www.persoenlich.com/marktplatz/lempen-ag-schaffhausen
Druckerei,Lenzdruck AG,Miescherweg 2,4812,Mühlethal/Zofingen,Schweiz,+41 62 891 58 60,sarah.eyer@lenzdruck.ch,lenzdruck.ch,Ms.,Sarah,Eyer,,,,,,,,"Wir drucken noch selbst wenn Sie wollen, können Sie uns dabei zusehen. Ob grosse oder kleine Auflagen – wir machen Druck.",https://www.persoenlich.com/marktplatz/lenzdruck-ag-muhlethal-zofingen
Werbeagenturen,Leone Ming est. Visible Marketing,Im alten Riet 22,9494,Schaan,Liechtenstein,00423 239 93 83,agentur@leoneming.com,leoneming.com,Mr.,Leone,Ming,,,,,,,,"Wir gewinnen mit Methode und dann mit Stil. Das bedeutet, dass Sie sich bei uns nicht einfach einen neuen Stil oder ein Image erkaufen können. Stattdessen können Sie mit uns geme",https://www.persoenlich.com/marktplatz/leone-ming-est-visible-marketing-schaan
Papier-/Couvert,Lerchmüller AG,Brunnengässli 1,5107,Schinznach-Dorf,Schweiz,+41 56 463 61 11,info@lerchmueller.ch,lerchmueller.ch,,,,,,,,,,,"Unser Leitspruch steht für ein einzigartig breites Angebot, Qualität, Innovation und Zuverlässigkeit",https://www.persoenlich.com/marktplatz/lerchmuller-ag-schinznach-dorf-1
Werbebeschriftung,Lettra Design Werbetechnik AG,Könizstrasse 161,3097,Liebefeld,Schweiz,+41 31 331 33 88,info@lettradesign.ch,lettradesign.ch,Mr.,Marco,Zwahlen,,,,,,,,"Wir setzen Ihre Werbung effizient in Szene - Ihre Idee nimmt bei uns auf Fahrzeugen, Schaufenstern, Gebäuden, etc. Form und Farbe an.",https://www.persoenlich.com/marktplatz/lettra-design-werbetechnik-ag-liebefeld
Eventtechniken,Leu Sound AG,Moserstrasse 25,3421,Lyssach,Schweiz,+41 34 445 70 50,info@leusound.ch,leusound.ch,Mr.,Beat,Leu,,,,,,,,"Willkommen bei Leu Sound, dem Spezialisten für professionelle Dienstleistungen im Bereich der Veranstaltungstechnik und der Unterhaltungsmedien",https://www.persoenlich.com/marktplatz/leu-sound-ag-lyssach
Konferenz-/Seminarhotels,LEUENBERG Evang. Tagungs- und Studienzentrum,Leuenbergstrasse 20,4434,Hölstein,Schweiz,061 956 12 12,info@leuenberg.ch,leuenberg.ch,Mr.,Herbert,Burkhard,,,,,,,,"Die ruhige Lage abseits von Lärm und Alltagsstress bietet optimale Bedingungen, um Wissen zu vermitteln, Ideen zu entwickeln, den Teamgeist zu fördern.",https://www.persoenlich.com/marktplatz/leuenberg-evang-tagungs-und-studienzentrum-holstein
Druckerei,Leupa Druck AG,Obere Sihleggstrasse 6 ,8834,Schindellegi,Schweiz,+41 44 784 44 44,,,,,,,,,,,,,Die kleine leistungsfähige Druckerei für Ihre Drucksachen ganz in Ihrer Nähe,https://www.persoenlich.com/marktplatz/leupa-druck-ag-schindellegi
Werbeagenturen,Leuzinger & Benz AG,Obere Bahnhofstrasse 46,8640,Rapperswil,Schweiz,055 210 41 00,info@leuz-benz.ch,leuz-benz.ch,,,,,,,,,,,"Leuzinger & Benz ist spezialisiert auf Public Relations  Öffentlichkeitsarbeit und entwickelt für Kunden der öffentlichen Hand, private Unternehmungen und Verbände massgeschnei",https://www.persoenlich.com/marktplatz/leuzinger-benz-ag-rapperswil
Werbeagenturen,level east ag Werbeagentur,Hauptstrasse 30,9400,Rohrschach,Schweiz,071 747 59 69,info@level-east.ch,level-east.ch,Mr.,Frank,Meier,,,,,,,,Unsere Philosophie ist denkbar einfach: Jede Arbeit muss für sich sprechen und die Firmenphilosophie des Kunden widerspiegeln. In unserem Agenturportrait stellen wir Ihnen aktuell,https://www.persoenlich.com/marktplatz/level-east-ag-werbeagentur-rohrschach
Druckerei,Ley Druck GmbH,Spitalstrasse 45,6004,Luzern,Schweiz,+41 41 420 87 87,info@leydruck.ch,leydruck.ch,Mr.,Ernst,Ley,,,,,,,,Ley Druck GmbH - Seit 1962 Ihr Spezialist rund um Druckerzeugnisse,https://www.persoenlich.com/marktplatz/ley-druck-gmbh-luzern
Database-Marketing,Libel Engineering AG,Rütistrasse 74,8645,Jona,Schweiz,+41 79 236 69 79,inform@libel.ch,libel.ch,Mr.,Roland,Hanselmann,,,,,,,,"Wir unterstützen Sie im Bestreben sich auf die neuen Rahmenbedingungen einzustellen. Bei der Erfüllung dieser Aufgabe legen wir Wert auf Kompetenz, gegenseitige Fairness und Tran",https://www.persoenlich.com/marktplatz/libel-engineering-ag-jona
Werbeagenturen,Life Science Communication AG,Weinbergstrasse 37,8006,Zürich,Schweiz,043 266 88 55,info@lscom.ch,lscom.ch,Mr.,Markus,Bächer,,,,,,,,Life Science Communication ist ein Beratungsunternehmen für integrierte Kommunikation und Marketing auf dem Gebiet des Gesundheitswesens und der Life Sciences. Der Fokus liegt auf,https://www.persoenlich.com/marktplatz/life-science-communication-ag-zurich
Eventtechniken,LIGHT & SOUND PROJECT,Wallisellerstrasse 55,8152,Opfikon,Schweiz,+41 44 811 32 51,info@light-sound.ch,light-sound.ch,Mr.,René,Gnann,,,,,,,,"Wir vermieten und verkaufen Veranstaltungstechnik, Eventtechnik, Mediatechnik, Beamer, Videoequipment, Lichtanlagen und Musikanlagen für Firmenanlass",https://www.persoenlich.com/marktplatz/light-sound-project-opfikon
Eventtechniken,Light + Byte AG,Baslerstrasse 30,8048,Zürich,Schweiz,+41 43 311 20 30,info@lbag.ch,lbag.ch,,,,,,,,,,,"Light + Byte ist der schweizweit führende Anbieter von professionellen Foto-, Video- und Digitalprodukten.",https://www.persoenlich.com/marktplatz/light-byte-ag-zurich
Eventtechniken,LIGHT STAGE Event Systems GmbH,Hofmättelistrasse 6,6055,Alpnach,Schweiz,+41 79 341 97 61,roland.preiss@lightstage.ch,lightstage.ch,Mr.,Roland,Preiss,,,,,,,,Vermietung und Verkauf von Veranstaltungstechnik und deren Planung für Veranstaltungen aller Art,https://www.persoenlich.com/marktplatz/light-stage-event-systems-gmbh-alpnach-dorf
Eventtechniken,Light-Design Eventtechnik AG,Stückirain 10,3266,Wiler,Schweiz,+41 32 391 60 70,info@eventprovider.ch,eventprovider.ch,,,,,,,,,,,"Eventprovider - das Generalunternehmen für Anlässe, Veranstaltungen, Eventtechnik und Infrastruktur.",https://www.persoenlich.com/marktplatz/light-design-eventtechnik-ag-wiler-b-seedorf
Online-Marketing-Agenturen,Liip AG,Rue de la Banque 1,1701,Fribourg,Schweiz,+41 26 422 25 11,contact@liip.ch,liip.ch,Ms.,Nadja,Perroulaz,,,,,,,,"Als Webagentur kreieren wir Digitale Produkte und sind Ihr Partner für Custom-Development, Konzeption und Design von der Vision bis zum fertigen Produkt.",https://www.persoenlich.com/marktplatz/liip-ag-fribourg
Kongresszentren,Lilienberg Unternehmerforum & Kongresszentrum,Blauortstrasse 10,8272,Ermatingen,Schweiz,+41 71 663 23 23,info@lilienberg.ch,lilienberg.ch,Mr.,,Reist,,,,,,,,"Lilienberg Unternehmerforum & Kongresszentrum - der Treffpunkt für Wirtschaft, Politik und Gesellschaft in Ermatingen am Bodensee.",https://www.persoenlich.com/marktplatz/lilienberg-unternehmerforum-kongresszentrum-ermatingen
Unternehmensberatung,"Limmat Bau-, Treuhand- und Verwaltungs-AG",Schulstrasse 2,8952,Schlieren,Schweiz,+41 44 755 71 71,,,,,,,,,,,,,"Unser Familienbetrieb, die Limmat Bau-, Treuhand- und Verwaltungs AG bietet sämtliche Dienstleistungen im Treuhand- und Immobilienbereich an.",https://www.persoenlich.com/marktplatz/limmat-bau-treuhand-und-verwaltungs-ag-schlieren
Verpackung,Limmatdruck AG,Pfadackerstrasse 10,8957,Spreitenbach,Schweiz,+41 56 417 51 11,ldz@rlc-packaging.com,rlc-packaging.com,Mr.,Pierre,Barth,,,,,,,,"Zeiler seit Jahren der führende, produktorientierte Problemlöser für die Süßwaren- und Lebensmittelindustrie.",https://www.persoenlich.com/marktplatz/limmatdruck-ag-spreitenbach
Lettershop/Fulfillment,Limmatdruck I Zeiler AG,Pfadacherstrasse 10,8957,Spreitenbach,Schweiz,+41 56 417 51 11,ldz@rlc-packaging.ch,rlc-packaging.ch,Mr.,Pierre,Barth,,,,,,,,"Hinter rlc stehen seit fünf Generationen Menschen, die Verpackungsverantwortung leben.",https://www.persoenlich.com/marktplatz/limmatdruck-i-zeiler-ag-spreitenbach
Konferenz-/Seminarhotels,Limmathof Baden AG,Limmatpromenade 28,5400,Baden,Schweiz,056 200 17 17,info@limmathof.ch,limmathof.ch,Mr.,Lorenz,Diebold,,,,,,,,Herrschaftlich-traditionell und kubisch-modern: so stehen sich die zwei Häuser des Limmathofs gegenüber - dazwischen: die Limmat. Im Bäderquartier der Stadt Baden geniessen Sie,https://www.persoenlich.com/marktplatz/limmathof-baden-ag-baden
Multimediaagenturen,Lind Design&Film,Schimmelgasse 18,9490,Vaduz,Liechtenstein,004237872626,office@cynthialind.com,cynthialind.com,Ms.,Cynthia,Lind,,,,,,,,Kommunikationsdesign,https://www.persoenlich.com/marktplatz/lind-design-film-vaduz
Konferenz-/Seminarhotels,Lindner Grand Hotel Beau Rivage,Höheweg 211,3800,Interlaken,Schweiz,033 826 70 07,info.interlaken@lindnerhotels.ch,lindnerhotels.ch,Mr.,Otto,Lindnder,,,,,,,,"Mit spektakulärer Aussicht auf Eiger, Mönch & Jungfrau besticht das imposante Lindner Grand Hotel Beau Rivage vor hinreißender Kulisse. Hier genießen Sie das besondere Etwas ei",https://www.persoenlich.com/marktplatz/lindner-grand-hotel-beau-rivage-interlaken
Konferenz-/Seminarhotels,Lindner Hotels & Alpentherme,"Naturpark Pfyn-Finges, Dorfpl. 1",3954,Leukerbad,Schweiz,027 472 10 00,spa@thermalhotels.ch,thermalhotels.ch,,,,,,,,,,,"Im traditionsreichen Leukerbad, von Bergriesen umgeben und der Sonne verwöhnt, liegt die Walliser Alpentherme & Spa Leukerbad direkt am historischen Dorfplatz. Mit ihren alpinen Q",https://www.persoenlich.com/marktplatz/lindner-hotels-alpentherme-leukerbad
Werbeartikel,Lindt & Sprüngli (Schweiz) AG,Seestrasse 204,8802,Kilchberg,Schweiz,+41 44 716 22 33,,,,,,,,,,,,,"Liebe zu Schokolade hält ewig. Liebe zu Schokolade von Sprüngli, LINDT oder Lindt & Sprüngli erst recht.",https://www.persoenlich.com/marktplatz/lindt-sprungli-schweiz-ag-kilchberg
Werbeagenturen,LineUp GmbH,Wasserwerkgasse 3,3000,Bern,Schweiz,+41 (79) 311 76 02,robert.riesen@lineup.ch,lineup.ch,Mr.,Robert,Riesen,,,,,,,,LineUp ist eine klar strukturierte und effiziente Kommunikationsagentur. Das Basisteam wird unterstützt durch ein Netz von Partnern aus verschiedensten Spezialdisziplinen.,https://www.persoenlich.com/marktplatz/lineup-gmbh-bern
Übersetzungen,LINGUA Übersetzungen,Stadthof Centralstrasse 8a,6210,Sursee,Schweiz,+41 41 921 68 06,lingua@lingua-uebersetzungen.ch,lingua-uebersetzungen.ch,Ms.,Daniela,Burri,,,,,,,,"Übersetzungsbüro LINGUA ist ein auf linguistische Übertragung fachbezogener Texte spezialisiertes Übersetzungsbüro, dessen kontinuierliche Expansion und stets wachsende Kundsc",https://www.persoenlich.com/marktplatz/lingua-ubersetzungen-sursee
Übersetzungen,Linguapool GmbH,Hohlstrasse 216,8004,Zürich,Schweiz,+41 44 286 64 64,zurich@aranchodoc.com,aranchodoc.com,,,,,,,,,,,Linguapool GmbH das zentral gelegene Übersetzungsbüro in Zürich ist seit 1997 als GmbH tätig und gehört seit Oktober 2003 der Eureco International Limited Group an.,https://www.persoenlich.com/marktplatz/linguapool-gmbh-zurich
Markt-/Meinungsforscher,LINK Institut für Markt- und Sozialforschung,Flurstrasse 30,8048,Zürich,Schweiz,+41 44 497 49 49,info@link.ch,link.ch,Mr.,Stefan,Oglesby,,,,,,,,"Das LINK Institut erhebt präzise, zuverlässige und aussagekräftige Entscheidungsgrundlagen.",https://www.persoenlich.com/marktplatz/link-institut-fur-markt-und-sozialforschung-zurich
Corporate Publishing Agenturen,Linkgroup,Mühlebachstrasse 52,8008,Zürich,Schweiz,+41 44 268 12 14,box@linkgroup.ch,linkgroup.ch,Mr.,Othmar,Krienbühl,,,,,,,,Linkgroup steht für Publishing auf allen Kommunikationskanälen. Wir entwickeln wirkungsvolle Kommunikationslösungen für unterschiedliche Anforderungen.,https://www.persoenlich.com/marktplatz/linkgroup-zurich
Druckvorstufe,Lippuner Graphics AG,Kernenriedstrasse 1,3421,Lyssach,Schweiz,+41 34 447 44 04,info@lippunergraphics.ch,lippunergraphics.ch,Mr.,,Lippuner,,,,,,,,"Wir sind Ihr Ansprechpartner im Bereich Prepress, Print und Finishing",https://www.persoenlich.com/marktplatz/lippuner-graphics-ag-lyssach
Werbebeschriftung,LITEX AG,Rütistrasse 14,9050,Appenzell,Schweiz,+41 71 788 35 35,administration@litex.ch,litex.ch,,,,,,,,,,,Die Litex AG ist in der Schweiz der führende Spezialist für die erfolgreiche Realisierung von durchdachten Beschriftungslösungen im Innen- und Aussenraum,https://www.persoenlich.com/marktplatz/litex-ag-appenzell
Druckvorstufe,Lithwork Phoenix GmbH,Bodelenweg 21,3172,Niederwangen,Schweiz,+41 31 981 42 70,info@lithwork.ch,lithwork.ch,Ms.,Yvonne,Schaller,,,,,,,,"Zur Königsklasse in Photoshop gehört die Erstellung von Composings. Verschiedene Bilder werden zu einer Komposition zusammengefügt, um ihnen eine völlig neue Bedeutung und Auss",https://www.persoenlich.com/marktplatz/lithwork-phoenix-gmbh-niederwangen
Eventtechniken,Live Sounds Markus Moser,Rütiweg 10,5706,Boniswil,Schweiz,+41 62 777 03 94,info@live-sounds.ch,live-sounds.ch,Mr.,Markus,Moser,,,,,,,,Veranstaltungstechnik und Tontechnik für Ihre Veranstalung Dry Hire Vermietung Mobile Recording.,https://www.persoenlich.com/marktplatz/live-sounds-markus-moser-boniswil
Druckvorstufe,Liveorient AG,Giesshübelstrasse 114,8045,Zürich,Schweiz,+41 44 463 11 48,info@liveorient.ch,liveorient.ch,,,,,,,,,,,"Seit 1986 betreuen wir erfolgreich unsere schweizerischen und ausländischen Kunden mit Effizienz und Flexibilität im Bereich Fremdsprachen, Übersetzungen und Satzherstellung.",https://www.persoenlich.com/marktplatz/liveorient-ag-zurich
Eventtechniken,LIVESOUND B AG,Sägestrasse 24,3054,Schüpfen,Schweiz,+41 31 838 99 33,info@livesound.ch,livesound.ch,,,,,,,,,,,Technische und organisatorische Betreuung von Veranstaltungen wie Festivals und Konzerten sowie Industrial Events.,https://www.persoenlich.com/marktplatz/livesound-b-ag-schupfen
Public Relations Agenturen,Loepfe & Partner AG,Baarerstrasse 133 ,6300,Zug,Schweiz,+41 41 720 33 22,welcome@storylead.com,storylead.com,Mr.,Oliver,Frommenwiler,,,,,,,,Wir verhelfen KMU zu planbaren Umsätzen mit dem Bau von Inbound Marketing & Sales-Systemen.,https://www.persoenlich.com/marktplatz/loepfe-partner-ag-zug
Druckerei,LOGIN network AG,Grossmatte-Ost 2,6014,Luzern,Schweiz,+41 41 259 60 30,info@loginweb.ch,loginweb.ch,Mr.,Oliver,Annoni,,,,,,,,Die LOGIN web AG bietet umfassende Lösungen für sämtliche Internet- und Printbereiche an. Unsere Innovationen gewinnen wir durch Kundenkontakte aus den verschiedensten Branchen.,https://www.persoenlich.com/marktplatz/login-network-ag-luzern
Werbeartikel,Lohri AG,Neugasse 9,6300,Zug,Schweiz,+41 41 711 78 33,info@lohri.com,lohri.com,,,,,,,,,,,Bei uns kommen Sie in Genuss von Luxusartikel feinster Güte.,https://www.persoenlich.com/marktplatz/lohri-ag-zug
Werbeagenturen,Loop & Partner GmbH Concepts,Weidstrasse 7,4317,Wegenstetten,Schweiz,+41 61 873 92 27,info@loop-partner.ch,loop-partner.ch,Mr.,,Loop,,,,,,,,Unsere Kernkompetenzen liegen bei der Beratung und Erarbeitung lösungsorientierter und zeitgemässer Konzepte.Wir entwickeln und setzen erfolgreiche Marketing– und Kommunikation,https://www.persoenlich.com/marktplatz/loop-partner-gmbh-concepts-wegenstetten
Aus-/Weiterbildung,Lorange Institute of Business Zürich,Hirsackerstrasse 46,8810,Horgen,Schweiz,044 728 99 99,info@ceibs.ch,ceibs.ch,Mr.,Peter,Lorange,,,,,,,,"Das Zurich Institute of Business Education ist eine Business-Schule der anderen Art und zeichnet sich durch vielfältige Innovationen aus. Innovationen, von denen Sie während und",https://www.persoenlich.com/marktplatz/lorange-institute-of-business-zurich-horgen
Druckerei,Lorraine Druck GmbH,Zikadenweg 39,3006,Bern,Schweiz,+41 31 333 04 41,info@lorrainedruck.ch,lorrainedruck.ch,Mr.,Beat,Mosimann,,,,,,,,Sie können von uns kompetente Beratung in allen drucktechnischen Belangen erwarten. An erster Stelle steht für uns selbstverständlich die Qualität der Drucksachen. Dazu erhalte,https://www.persoenlich.com/marktplatz/lorraine-druck-gmbh-bern
Druckerei,Lötscher Druck & Kopie AG,Hellbühlstrasse 24,6102,Malters,Schweiz,+41 41 497 43 20,info@loetscher-druck.ch,loetscher-druck.ch,Mr.,Monika,Lötscher,,,,,,,,"Unser Ziel verfolgen wir mit hoher Sachkompetenz, indem wir die Kundenwünsche und -bedürfnisse umsetzen und qualitativ hochstehende GRAFIK - DRUCK - REKLAMEN - LETTERSHOP Arbeite",https://www.persoenlich.com/marktplatz/lotscher-druck-kopie-ag-malters
Fotografie,Louis Rafael Rosenthal Media,Schürbungert,8057,Zürich,Schweiz,+41764471516,louis@louisrafael.com,louisrafael.com,Mr.,Rafael,Rosenthal,,,,,,,,Wir bieten Fotografie und Videoproduktion für Unternehmen in unterschiedlichsten Branchen und allen denkbaren Grössen.,https://www.persoenlich.com/marktplatz/louis-rafael-rosenthal-media-zurich
Markt-/Meinungsforscher,Löwenheck Marktforschung GmbH,Steinenvorstadt 30,4051,Basel,Schweiz,+41 61 561 76 90,info@loewenheck.ch,loewenheck.ch,Mr.,Peter,Löwenheck,,,,,,,,Löwenheck Marktforschung ist eine unabhängige Firma. Unsere wichtigsten Partner sind unsere Kunden. Wir legen grossen Wert darauf jeden Kunden zu verstehen: Die Grundlage einer,https://www.persoenlich.com/marktplatz/lowenheck-marktforschung-gmbh-basel
Buchbinderei,LP Copy Center,Landstrasse 15,5430,Wettingen,Schweiz,+41 56 221 86 86,wettingen@lpcopycenter.ch,lpcopycenter.ch,Mr.,Peter,Fischli,,,,,,,,"Wir freuen uns auf Sie Es erwartet Sie ein aufgestelltes Team mit qualifizierten Spezialisten und Allroundern, die sich mit Begeisterung um Ihre Aufträge kümmern.",https://www.persoenlich.com/marktplatz/lp-copy-center-wettingen
Markt-/Meinungsforscher,LP Marktforschung AG,Oberwilerstrasse 40b,4106,Therwil,Schweiz,+41 61 263 32 82,info@lpmarktforschung.ch,lpmarktforschung.ch,Mr.,Goar,Walser,,,,,,,,"Lp Marktforschung ist spezialisiert auf Mystery Testing, Preisvergleiche, Sortimentsanalysen und Befragungen.",https://www.persoenlich.com/marktplatz/lp-marktforschung-ag-therwil
Design,LT-SOLUTIONS.CH | Lukas Treichler,Büblikerweg 6,5507,Mellingen,Schweiz,+41 76 398 61 63,info@lt-solutions.ch,lt-solutions.ch,Mr.,Lukas,Treichler,Inhaber & Geschäftsführer,,,,,,,"Graphic Solutions, Administrative Solutions, Event Solutions, Textil Solutions",https://www.persoenlich.com/marktplatz/lt-solutions-ch-lukas-treichler-mellingen
Druckerei,Lüdin AG Digitaldruck,Schützenstrasse 6,4410,Liestal,Schweiz,+41 61 927 27 20,digitaldruck@luedin.ch,luedin.ch,Mr.,,Lüdin,,,,,,,,,https://www.persoenlich.com/marktplatz/ludin-ag-digitaldruck-liestal
Design,Ludwig Walser Design AG,Täfernstrasse 37,5405,Baden,Schweiz,+41 56 493 51 30,admin@walserdesign.com,walserdesign.com,Mr.,Thomas,Walser,,,,,,,,Übernahme und Ausführung von Aufträgen zur Planung und Gestaltung von Industrieerzeugnissen sowie von Aufträgen zur Förderung des Absatzes solcher Produkte.,https://www.persoenlich.com/marktplatz/ludwig-walser-design-ag-baden
Fotografie,Luftbilderschweiz.ch,Hof 154,9426,Lutzenberg,Schweiz,+41 78 695 02 95,info@luftbilderschweiz.ch,luftbilderschweiz.ch,Mr.,Roman,Schellenberg,,,,,,,,Luftbilderschweiz.ch ist die führende Online-Bilddatenbank für exklusive und hochauflösende Luftaufnahmen aus der ganzen Schweiz.,https://www.persoenlich.com/marktplatz/luftbilderschweiz-ch-lutzenberg
Aus-/Weiterbildung,LUMAKO Management + Kommunikation  AG,Buchenstrasse 10,9500,Will,Schweiz,071 912 45 45,schule@lumako.ch,lumako.ch,,,,,,,,,,,"Die Lumako Management & Kommunikation AG ist ein ganz kleines, aber leistungsfähiges Team.Fragen Sie nicht, was wir können, sondern sagen Sie uns, was Sie brauchen!...auf irgende",https://www.persoenlich.com/marktplatz/lumako-management-kommunikation-ag-will
Online-Marketing-Agenturen,lumiNET GmbH,Birseckstrasse 99,4144,Arlesheim,Schweiz,+41 78 662 84 15,info@luminet.ch,luminet.ch,Ms.,Christine,Hermann,,,,,,,,Wir helfen Ihnen Ihr (Internet-)Ziel zu erreichen und bieten Ihnen individuelle und massgeschneiderte Lösungen an.,https://www.persoenlich.com/marktplatz/luminet-gmbh-arlesheim
Werbeagenturen,LUNIC SA,Rue du 31 Décembre 47,1207,Genève,Schweiz,+41 22 718 01 50,communication@lunic.ch,lunic.ch,Ms.,Rae,Grimaux,,,,,,,,"LUNIC est une agence de communication globale, basée à Genève",https://www.persoenlich.com/marktplatz/lunic-sa-geneve
Druckerei,Lüthi + Rothen Druck AG,Dorfstrasse 28,3506,Grosshöchstetten,Schweiz,+41 31 711 23 23,info@lr-print.ch,lr-print.ch,,,,,,,,,,,"WIR BERATEN, ORGANISIEREN, DRUCKEN UND BIETEN IHNEN PERFEKTE, AUF SIE ABGESTIMMTE LÖSUNGEN. BESTE LEISTUNGEN FÜR UNSERE GESCHÄTZTEN KUNDEN, DIE EINE FLEXIBLE DRUCKEREI SUCHEN.",https://www.persoenlich.com/marktplatz/luthi-rothen-druck-ag-grosshochstetten
Druckerei,Lüthi Druck AG,Bodackerweg 4,3360,Herzogenbuchsee,Schweiz,+41 62 961 44 77,info@luethi-druck.ch,luethi-druck.ch,Mr.,Rolf,Krähenbühl-Lüthi,,,,,,,,"Unser Dienstleistungsangebot erstreckt sich von der einfachen sw Kopie über Visitenkarten, Briefpapier, Prospekten bis hin zu Broschüren und Büchern. Neu kommt hinzu dass wir je",https://www.persoenlich.com/marktplatz/luthi-druck-ag-herzogenbuchsee
Marketing-Agenturen,luum.,Christoffelgasse 3,3011,Bern,Schweiz,+41765184402,info@luum-agency.ch,luum-agency.ch,Mr.,Juri,Hofmann,,,,,,,,"Wir sind eine Werbeagentur aus Bern mit digitaler DNA.  Unsere Mission ist es, Identitäten verschiedener Marken durch massgeschneiderte Medienlösungen zum Ausdruck zu bringen.",https://www.persoenlich.com/marktplatz/luum-bern
Werbeartikel,Luwor AG,Schürmattstrasse 2,6289,Müswangen,Schweiz,+41 41 917 19 55,,,,,,,,,,,,,Unsere Philosophie war und ist Klein aber kreative!,https://www.persoenlich.com/marktplatz/luwor-ag-muswangen
Unternehmensberatung,Lux Markenpartner GmbH,Löwenstrasse 2,8001,Zürich,Schweiz,+41-44 212 55 66,contact@luxmarkenpartner.com,luxmarkenpartner.com,Mr.,C.,Lux,,,,,,,,"«Spezialisten für Markenentwicklung und höchste Marken-Performance: Analysen, Markenkern, Strategien und Umsetzungen, Projekt Coaching, Brand Experience, Markenethik.»",https://www.persoenlich.com/marktplatz/lux-markenpartner-gmbh-zurich
Eventlocations,LUXORY,Maienstrasse 6,2540,Grenchen,Schweiz,+41 78 730 36 37,info@luxorysaray.com,luxorysaray.com,,,,,,,,,,,Wir heissen Sie herzlich Willkommen in unserem luxuriös eingerichteten Mehrzwecksaal.,https://www.persoenlich.com/marktplatz/luxory-grenchen
Werbeartikel,Lyreco Switzerland AG,Riedstrasse 4,8953,Dietikon,Schweiz,0800 484 484,bestellungen.ch@lyreco.ch,lyreco.ch,,,,,,,,,,,"«Alles, was Sie am Arbeitsplatz brauchen: Denken Sie Lyreco!»",https://www.persoenlich.com/marktplatz/lyreco-switzerland-ag-dietikon
Werbeartikel,Lysa AG Werbeartikel,Hohstrasse 4,8302,Kloten,Schweiz,+41 79 405 61 08,info@lysa.ch,lysa.ch,,,,,,,,,,,,https://www.persoenlich.com/marktplatz/lysa-ag-werbeartikel-kloten
Druckerei,Lyssbach Druck AG,Zeughausstrasse 3a,3250,Lyss,Schweiz,+41 32 384 36 33,info@lyssbachdruck.ch,lyssbachdruck.ch,Mr.,Peter,Hunziker,,,,,,,,Unser flexibler Kleinbetrieb bietet eine sehr persönliche Beratung für Ihre Drucksachen.,https://www.persoenlich.com/marktplatz/lyssbach-druck-ag-lyss
Eventtechniken,M & M Hire AG,Neulandweg 3,5502,Hunzenschwil,Schweiz,+41 62 849 16 09,technik@mmhire.ch,mmhire.ch,Mr.,,Meyer,,,,,,,,"Überregionaler Dienstleister fur hochwertige Miet-Lösungen im Bereich professioneller Beschallung, Event- bzw. Veranstaltungstechnik.",https://www.persoenlich.com/marktplatz/m-m-hire-ag-hunzenschwil
Korrektorat/Lektorat,m communications Korrektorat,Garwidenstrasse 5,8932,Mettmenstetten,Schweiz,+ 41 43 466 89 37,info@mcommunications.ch,mcommunications.ch,Ms.,Martina,Murer,,,,,,,,m communications setzt Zeichen. Umfassend und flexibel. Das Arbeitsspektrum reicht vom klassischen Korrektorat  Lektorat bis hin zum Textservice.,https://www.persoenlich.com/marktplatz/m-communications-korrektorat-mettmenstetten
